Date,Country,Cat,Name
1946,United States of America,USA,Don Otten
1946,United States of America,USA,Gene Gillette
1947,United States of America,USA,Matt Zunic
1947,United States of America,USA,Paul Noel
1947,United States of America,USA,Bill Calhoun
1947,United States of America,USA,Paul Hoffman
1947,United States of America,USA,Elmore Morgenthaler
1947,United States of America,USA,George Feigenbaum
1947,United States of America,USA,Fran Curran
1947,United States of America,USA,Fritz Nagy
1947,United States of America,USA,Gene Rock
1947,United States of America,USA,Gene Stump
1947,United States of America,USA,Gene Vance
1947,United States of America,USA,Harry Boykoff
1947,United States of America,USA,Frank Brian
1947,United States of America,USA,Glen Selbo
1947,United States of America,USA,Jack Rocker
1947,United States of America,USA,Jack Smiley
1947,United States of America,USA,Jack Tingle
1947,United States of America,USA,Jimmy Darden
1947,United States of America,USA,John Hargis
1947,United States of America,USA,Carl Braun
1947,United States of America,USA,Jack Dwan
1947,United States of America,USA,Mike Todorovich
1947,United States of America,USA,Jack Toomay
1947,United States of America,USA,Lee Robbins
1947,United States of America,USA,Les Pugh
1947,United States of America,USA,Red Rocha
1947,United States of America,USA,Paul Cloyd
1947,United States of America,USA,Wataru Misaka
1947,United States of America,USA,Johnny Macknowski
1947,United States of America,USA,Bill Roberts
1947,United States of America,USA,Johnny Jorgensen
1947,United States of America,USA,Jim Pollard
1947,United States of America,USA,Andy Phillip
1947,United States of America,USA,Bob Hubbard
1947,United States of America,USA,"David Ralph ""Boag"" Johnson"
1947,United States of America,USA,Ralph Hamilton
1947,United States of America,USA,Boody Gilbertson
1947,United States of America,USA,Paul Napolitano
1947,United States of America,USA,Andy Duncan
1947,United States of America,USA,Ben Schadler
1947,United States of America,USA,Walt Kirk
1947,United States of America,USA,Ron Livingstone
1947,United States of America,USA,Sid Tanenbaum
1947,United States of America,USA,Bill Downey
1947,United States of America,USA,Bill Henry
1947,United States of America,USA,Bulbs Ehlers
1947,United States of America,USA,Charles B. Black
1947,United States of America,USA,Chink Crossin
1947,United States of America,USA,Danny Wagner
1947,United States of America,USA,Dick Holub
1947,United States of America,USA,Dick Mehen
1947,United States of America,USA,Dick O'Keefe
1947,United States of America,USA,Walt Lautenbach
1947,United States of America,USA,Jim Springer
1948,United States of America,USA,Dolph Schayes
1948,United States of America,USA,Ed Peterson
1948,United States of America,USA,Kenny Rollins
1948,United States of America,USA,Dan Kraus
1948,United States of America,USA,Billy Gabor
1948,United States of America,USA,Jack Nichols
1948,United States of America,USA,Alex Hannum
1948,United States of America,USA,Howie Shannon
1948,United States of America,USA,Joe Graboski
1948,United States of America,USA,Johnny Bach
1948,United States of America,USA,Arnie Ferrin
1948,United States of America,USA,Ed Mikan
1948,United States of America,USA,Hoot Gibson
1948,United States of America,USA,Earl Gardner
1948,United States of America,USA,Jack Burmaster
1948,United States of America,USA,Jack Cotton
1948,United States of America,USA,Jake Carter
1948,United States of America,USA,Jim Browne
1948,United States of America,USA,Tom Kelly
1948,United States of America,USA,Gene Berce
1948,United States of America,USA,"Murray Mendenhall, Jr."
1948,United States of America,USA,Bobby Wanzer
1948,United States of America,USA,Bobby Cook
1948,United States of America,USA,Ray Lumpp
1948,United States of America,USA,Leo Katkaveck
1948,United States of America,USA,Whitey Kachan
1948,United States of America,USA,Easy Parham
1948,United States of America,USA,Harry Gallatin
1948,United States of America,USA,Bob Brannum
1948,United States of America,USA,Andy Tonkovich
1948,United States of America,USA,Mel McGaha
1948,United States of America,USA,Donnie Forman
1948,United States of America,USA,D. C. Wilcutt
1948,United States of America,USA,Leo Kubiak
1948,United States of America,USA,Murray Wier
1948,United States of America,USA,Odie Spears
1948,United States of America,USA,Phil Farbman
1948,United States of America,USA,Ward Williams
1948,United States of America,USA,Roy Pugh
1948,United States of America,USA,Al Guokas
1948,United States of America,USA,Lionel Malamed
1948,United States of America,USA,Andy Kostecka
1948,United States of America,USA,Jake Bornheimer
1948,United States of America,USA,Don Barksdale
1948,United States of America,USA,Brady Walker
1948,United States of America,USA,Dillard Crocker
1948,United States of America,USA,Walt Budko
1948,United States of America,USA,Dick Wehr
1948,United States of America,USA,Herb Krautblatt
1948,United States of America,USA,John Hazen
1948,United States of America,USA,Darrel Brown
1948,United States of America,USA,Ray Ellefson
1948,United States of America,USA,Fred Paine
1949,United States of America,USA,Ed Macauley
1949,United States of America,USA,Bob Brown
1949,United States of America,USA,Alex Groza
1949,United States of America,USA,Vern Mikkelsen
1949,United States of America,USA,Dwight Eddleman
1949,United States of America,USA,Leo Barnhorst
1949,United States of America,USA,Paul Walther
1949,United States of America,USA,George Kaftan
1949,United States of America,USA,Tony Lavelli
1949,United States of America,USA,Wallace Jones
1949,United States of America,USA,Edward Bartels
1949,United States of America,USA,Gene James
1949,United States of America,USA,Hook Dillon
1949,United States of America,USA,Jack Phelan
1949,United States of America,USA,John Oldham
1949,United States of America,USA,Ralph Beard
1949,United States of America,USA,Cliff Barker
1949,United States of America,USA,Vince Boryla
1949,United States of America,USA,Dermie O'Connell
1949,United States of America,USA,Frank Saul
1949,United States of America,USA,Bob Harrison
1949,United States of America,USA,Jack Coleman
1949,United States of America,USA,Ike Borsavage
1949,United States of America,USA,Fred Schaus
1949,United States of America,USA,Don Boven
1949,United States of America,USA,Vern Gardner
1949,United States of America,USA,Bud Grant
1949,United States of America,USA,Slater Martin
1949,United States of America,USA,Dick McGuire
1949,United States of America,USA,Matt Mazza
1949,United States of America,USA,Nelson Bobb
1949,United States of America,USA,Paul Gordon
