National_Basketball_Association,country_of_citizenshipLabel,US_OR_NOT,National_Basketball_AssociationLabel,work_period__start_,
http://www.wikidata.org/entity/Q2352839,United States of America,1,Connie Simmons,1946,1
http://www.wikidata.org/entity/Q3718733,United States of America,1,Aud Brindley,1946,1
http://www.wikidata.org/entity/Q3718874,United States of America,1,Ed Stanczak,1946,1
http://www.wikidata.org/entity/Q3751813,United States of America,1,Frank Fucarino,1946,1
http://www.wikidata.org/entity/Q3760618,United States of America,1,George Pastushok,1946,1
http://www.wikidata.org/entity/Q3783043,United States of America,1,Hank Rosenstein,1946,1
http://www.wikidata.org/entity/Q3783424,United States of America,1,Harold Brown,1946,1
http://www.wikidata.org/entity/Q3783440,United States of America,1,Harold Kottman,1946,1
http://www.wikidata.org/entity/Q1633921,United States of America,1,George Nostrand,1946,1
http://www.wikidata.org/entity/Q1633958,United States of America,1,Jack Garfinkel,1946,1
http://www.wikidata.org/entity/Q1634810,United States of America,1,Don Carlson,1946,1
http://www.wikidata.org/entity/Q1634876,United States of America,1,Tony Jaros,1946,1
http://www.wikidata.org/entity/Q1635488,United States of America,1,Jerry Rullo,1946,1
http://www.wikidata.org/entity/Q2370493,United States of America,1,Ned Endress,1946,1
http://www.wikidata.org/entity/Q2371045,United States of America,1,Hank Lefkowitz,1946,1
http://www.wikidata.org/entity/Q2371588,United States of America,1,Bob Faught,1946,1
http://www.wikidata.org/entity/Q2498099,United States of America,1,Chet Carlisle,1946,1
http://www.wikidata.org/entity/Q3805594,United States of America,1,Jack Hewson,1946,1
http://www.wikidata.org/entity/Q3805615,United States of America,1,Jack Maddox,1946,1
http://www.wikidata.org/entity/Q3809023,United States of America,1,John Abramovic,1946,1
http://www.wikidata.org/entity/Q3809450,United States of America,1,John Mandic,1946,1
http://www.wikidata.org/entity/Q2562915,United States of America,1,Ernie Calverley,1946,1
http://www.wikidata.org/entity/Q2563549,United States of America,1,Paul Seymour,1946,1
http://www.wikidata.org/entity/Q1648767,United States of America,1,Billy Hassett,1946,1
http://www.wikidata.org/entity/Q1653775,United States of America,1,Ariel Maughan,1946,1
http://www.wikidata.org/entity/Q1654072,United States of America,1,Marty Passaglia,1946,1
http://www.wikidata.org/entity/Q1691427,United States of America,1,Joe Fulks,1946,1
http://www.wikidata.org/entity/Q1913679,United States of America,1,Max Zaslofsky,1946,1
http://www.wikidata.org/entity/Q1960818,United States of America,1,Dick Fitzgerald,1946,1
http://www.wikidata.org/entity/Q2032563,United States of America,1,Pop Goodwin,1946,1
http://www.wikidata.org/entity/Q2110879,United States of America,1,George Mearns,1946,1
http://www.wikidata.org/entity/Q2157569,United States of America,1,Ray Wertis,1946,1
http://www.wikidata.org/entity/Q2157582,United States of America,1,Mel Thurston,1946,1
http://www.wikidata.org/entity/Q2157612,United States of America,1,Giff Roux,1946,1
http://www.wikidata.org/entity/Q2264284,United States of America,1,Leo Mogus,1946,1
http://www.wikidata.org/entity/Q2320891,United States of America,1,Johnny Logan,1946,1
http://www.wikidata.org/entity/Q3809718,United States of America,1,Johnny Ezersky,1946,1
http://www.wikidata.org/entity/Q3829373,United States of America,1,Lee Knorek,1946,1
http://www.wikidata.org/entity/Q3830259,United States of America,1,Leo Klier,1946,1
http://www.wikidata.org/entity/Q887909,United States of America,1,Bob Feerick,1946,1
http://www.wikidata.org/entity/Q2889515,United States of America,1,Joe Fabel,1946,1
http://www.wikidata.org/entity/Q2889541,United States of America,1,Harry Zeller,1946,1
http://www.wikidata.org/entity/Q2912706,United States of America,1,Coulby Gunther,1946,1
http://www.wikidata.org/entity/Q3014860,United States of America,1,Herschel Baltimore,1946,1
http://www.wikidata.org/entity/Q3179708,United States of America,1,George Munroe,1946,1
http://www.wikidata.org/entity/Q3274033,United States of America,1,Deb Smith,1946,1
http://www.wikidata.org/entity/Q2033175,United States of America,1,George Grimshaw,1946,1
http://www.wikidata.org/entity/Q3854065,United States of America,1,Mel Hirsch,1946,1
http://www.wikidata.org/entity/Q3858039,United States of America,1,Milo Komenich,1946,1
http://www.wikidata.org/entity/Q3858085,United States of America,1,Milt Schoon,1946,1
http://www.wikidata.org/entity/Q3870574,United States of America,1,Nat Militzok,1946,1
http://www.wikidata.org/entity/Q3911367,United States of America,1,Price Brookfield,1946,1
http://www.wikidata.org/entity/Q3929811,United States of America,1,Ralph Siewert,1946,1
http://www.wikidata.org/entity/Q19615890,United States of America,1,Dale Morey,1946,1
